version,m,n,j,RT_j,gaps,steps,μs,r1,c1,j1,r2,c2,j2,r3,c3,j3
gap_enum1,60,3,2,11,3,10,3,0,5,56,0,5,52,0,6,43
gap_enum2,60,3,2,11,2,5,2,0,5,56,0,5,52,0,6,43
gap_enum1,60,3,1,16,4,33,3,0,5,56,0,5,52,0,6,43
gap_enum2,60,3,1,16,2,12,3,0,5,56,0,5,52,0,6,43
gap_enum1,61,3,3,8,1,1,2,0,4,50,0,8,45,0,8,44
gap_enum2,61,3,3,8,1,1,2,0,4,50,0,8,45,0,8,44
gap_enum1,61,3,2,16,2,10,2,0,4,50,0,8,45,0,8,44
gap_enum2,61,3,2,16,1,4,2,0,4,50,0,8,45,0,8,44
gap_enum1,61,3,1,20,3,22,3,0,4,50,0,8,45,0,8,44
gap_enum2,61,3,1,20,1,7,2,0,4,50,0,8,45,0,8,44
gap_enum1,62,3,3,6,1,1,2,0,8,56,0,6,47,0,6,43
gap_enum2,62,3,3,6,1,1,2,0,8,56,0,6,47,0,6,43
gap_enum1,62,3,2,12,2,10,2,0,8,56,0,6,47,0,6,43
gap_enum2,62,3,2,12,1,4,2,0,8,56,0,6,47,0,6,43
gap_enum1,62,3,1,20,5,33,4,0,8,56,0,6,47,0,6,43
gap_enum2,62,3,1,20,2,12,3,0,8,56,0,6,47,0,6,43
gap_enum1,63,3,3,7,1,1,2,0,8,48,0,8,44,0,7,42
gap_enum2,63,3,3,7,1,1,2,0,8,48,0,8,44,0,7,42
gap_enum1,63,3,2,15,2,10,2,0,8,48,0,8,44,0,7,42
gap_enum2,63,3,2,15,1,4,2,0,8,48,0,8,44,0,7,42
gap_enum1,63,3,1,23,3,22,3,0,8,48,0,8,44,0,7,42
gap_enum2,63,3,1,23,1,7,2,0,8,48,0,8,44,0,7,42
gap_enum1,64,3,3,4,1,1,2,0,7,53,0,8,49,0,4,41
gap_enum2,64,3,3,4,1,1,2,0,7,53,0,8,49,0,4,41
gap_enum1,64,3,2,12,3,10,3,0,7,53,0,8,49,0,4,41
gap_enum2,64,3,2,12,2,5,2,0,7,53,0,8,49,0,4,41
gap_enum1,64,3,1,19,4,33,3,0,7,53,0,8,49,0,4,41
gap_enum2,64,3,1,19,2,12,3,0,7,53,0,8,49,0,4,41
gap_enum1,65,3,3,7,1,1,2,0,7,47,0,7,46,0,7,40
gap_enum2,65,3,3,7,1,1,2,0,7,47,0,7,46,0,7,40
gap_enum1,65,3,2,14,2,10,2,0,7,47,0,7,46,0,7,40
gap_enum2,65,3,2,14,1,4,2,0,7,47,0,7,46,0,7,40
gap_enum1,65,3,1,21,3,19,3,0,7,47,0,7,46,0,7,40
gap_enum2,65,3,1,21,1,7,2,0,7,47,0,7,46,0,7,40
gap_enum1,66,3,3,8,1,1,2,0,4,48,0,8,44,0,8,42
gap_enum2,66,3,3,8,1,1,2,0,4,48,0,8,44,0,8,42
gap_enum1,66,3,2,16,2,10,2,0,4,48,0,8,44,0,8,42
gap_enum2,66,3,2,16,1,4,2,0,4,48,0,8,44,0,8,42
gap_enum1,66,3,1,20,3,22,3,0,4,48,0,8,44,0,8,42
gap_enum2,66,3,1,20,1,7,2,0,4,48,0,8,44,0,8,42
gap_enum1,67,3,3,9,1,1,2,0,5,51,0,4,42,0,9,41
gap_enum2,67,3,3,9,1,1,2,0,5,51,0,4,42,0,9,41
gap_enum1,67,3,2,13,2,10,2,0,5,51,0,4,42,0,9,41
gap_enum2,67,3,2,13,1,4,2,0,5,51,0,4,42,0,9,41
gap_enum1,67,3,1,18,4,33,3,0,5,51,0,4,42,0,9,41
gap_enum2,67,3,1,18,1,11,2,0,5,51,0,4,42,0,9,41
gap_enum1,68,3,3,9,1,1,2,0,8,59,0,4,52,0,9,46
gap_enum2,68,3,3,9,1,1,2,0,8,59,0,4,52,0,9,46
gap_enum1,68,3,2,13,2,10,2,0,8,59,0,4,52,0,9,46
gap_enum2,68,3,2,13,1,4,2,0,8,59,0,4,52,0,9,46
gap_enum1,68,3,1,21,4,28,3,0,8,59,0,4,52,0,9,46
gap_enum2,68,3,1,21,1,11,2,0,8,59,0,4,52,0,9,46
gap_enum1,69,3,3,6,1,1,2,0,6,59,0,5,43,0,6,41
gap_enum2,69,3,3,6,1,1,4,0,6,59,0,5,43,0,6,41
gap_enum1,69,3,2,11,2,10,2,0,6,59,0,5,43,0,6,41
gap_enum2,69,3,2,11,1,4,2,0,6,59,0,5,43,0,6,41
gap_enum1,69,3,1,17,5,33,4,0,6,59,0,5,43,0,6,41
gap_enum2,69,3,1,17,2,12,3,0,6,59,0,5,43,0,6,41
gap_enum1,70,3,3,7,1,1,2,0,6,58,0,7,53,0,7,42
gap_enum2,70,3,3,7,1,1,2,0,6,58,0,7,53,0,7,42
gap_enum1,70,3,2,14,3,10,3,0,6,58,0,7,53,0,7,42
gap_enum2,70,3,2,14,2,5,2,0,6,58,0,7,53,0,7,42
gap_enum1,70,3,1,20,4,33,3,0,6,58,0,7,53,0,7,42
gap_enum2,70,3,1,20,2,12,3,0,6,58,0,7,53,0,7,42
gap_enum1,71,3,3,8,1,1,2,0,7,52,0,7,40,0,8,40
gap_enum2,71,3,3,8,1,1,2,0,7,52,0,7,40,0,8,40
gap_enum1,71,3,2,15,2,4,2,0,7,52,0,7,40,0,8,40
gap_enum2,71,3,2,15,1,3,2,0,7,52,0,7,40,0,8,40
gap_enum1,71,3,1,22,4,33,3,0,7,52,0,7,40,0,8,40
gap_enum2,71,3,1,22,1,11,2,0,7,52,0,7,40,0,8,40
gap_enum1,72,3,3,6,1,1,2,0,4,55,0,8,49,0,6,44
gap_enum2,72,3,3,6,1,1,2,0,4,55,0,8,49,0,6,44
gap_enum1,72,3,2,14,2,10,2,0,4,55,0,8,49,0,6,44
gap_enum2,72,3,2,14,1,4,2,0,4,55,0,8,49,0,6,44
gap_enum1,72,3,1,18,4,33,3,0,4,55,0,8,49,0,6,44
gap_enum2,72,3,1,18,1,11,2,0,4,55,0,8,49,0,6,44
gap_enum1,73,3,3,9,1,1,2,0,4,57,0,7,55,0,9,49
gap_enum2,73,3,3,9,1,1,2,0,4,57,0,7,55,0,9,49
gap_enum1,73,3,2,16,2,10,2,0,4,57,0,7,55,0,9,49
gap_enum2,73,3,2,16,1,4,2,0,4,57,0,7,55,0,9,49
gap_enum1,73,3,1,20,3,22,3,0,4,57,0,7,55,0,9,49
gap_enum2,73,3,1,20,1,7,2,0,4,57,0,7,55,0,9,49
gap_enum1,74,3,3,4,1,1,2,0,9,56,0,4,49,0,4,46
gap_enum2,74,3,3,4,1,1,2,0,9,56,0,4,49,0,4,46
gap_enum1,74,3,2,8,2,10,2,0,9,56,0,4,49,0,4,46
gap_enum2,74,3,2,8,1,4,2,0,9,56,0,4,49,0,4,46
gap_enum1,74,3,1,17,5,33,4,0,9,56,0,4,49,0,4,46
gap_enum2,74,3,1,17,2,12,3,0,9,56,0,4,49,0,4,46
gap_enum1,75,3,3,9,1,1,2,0,7,50,0,5,44,0,9,43
gap_enum2,75,3,3,9,1,1,2,0,7,50,0,5,44,0,9,43
gap_enum1,75,3,2,14,2,10,2,0,7,50,0,5,44,0,9,43
gap_enum2,75,3,2,14,1,4,2,0,7,50,0,5,44,0,9,43
gap_enum1,75,3,1,21,3,22,3,0,7,50,0,5,44,0,9,43
gap_enum2,75,3,1,21,1,7,2,0,7,50,0,5,44,0,9,43
gap_enum1,76,3,3,9,1,1,2,0,5,59,0,8,56,0,9,52
gap_enum2,76,3,3,9,1,1,2,0,5,59,0,8,56,0,9,52
gap_enum1,76,3,2,17,2,10,2,0,5,59,0,8,56,0,9,52
gap_enum2,76,3,2,17,1,4,2,0,5,59,0,8,56,0,9,52
gap_enum1,76,3,1,22,3,22,3,0,5,59,0,8,56,0,9,52
gap_enum2,76,3,1,22,1,7,2,0,5,59,0,8,56,0,9,52
gap_enum1,77,3,3,9,1,1,2,0,9,53,0,6,42,0,9,41
gap_enum2,77,3,3,9,1,1,2,0,9,53,0,6,42,0,9,41
gap_enum1,77,3,2,15,2,10,2,0,9,53,0,6,42,0,9,41
gap_enum2,77,3,2,15,1,4,2,0,9,53,0,6,42,0,9,41
gap_enum1,77,3,1,24,4,33,3,0,9,53,0,6,42,0,9,41
gap_enum2,77,3,1,24,1,11,15,0,9,53,0,6,42,0,9,41
gap_enum1,78,3,3,4,1,1,2,0,7,54,0,8,54,0,4,41
gap_enum2,78,3,3,4,1,1,2,0,7,54,0,8,54,0,4,41
gap_enum1,78,3,2,12,3,10,3,0,7,54,0,8,54,0,4,41
gap_enum2,78,3,2,12,2,5,2,0,7,54,0,8,54,0,4,41
gap_enum1,78,3,1,19,4,21,3,0,7,54,0,8,54,0,4,41
gap_enum2,78,3,1,19,2,9,2,0,7,54,0,8,54,0,4,41
gap_enum1,79,3,3,5,1,1,2,0,6,58,0,7,58,0,5,45
gap_enum2,79,3,3,5,1,1,2,0,6,58,0,7,58,0,5,45
gap_enum1,79,3,2,12,3,10,3,0,6,58,0,7,58,0,5,45
gap_enum2,79,3,2,12,2,5,2,0,6,58,0,7,58,0,5,45
gap_enum1,79,3,1,18,4,21,3,0,6,58,0,7,58,0,5,45
gap_enum2,79,3,1,18,2,9,2,0,6,58,0,7,58,0,5,45
gap_enum1,80,3,3,4,1,1,2,0,5,57,0,9,53,0,4,44
gap_enum2,80,3,3,4,1,1,2,0,5,57,0,9,53,0,4,44
gap_enum1,80,3,2,13,3,10,2,0,5,57,0,9,53,0,4,44
gap_enum2,80,3,2,13,2,5,2,0,5,57,0,9,53,0,4,44
gap_enum1,80,3,1,18,4,33,3,0,5,57,0,9,53,0,4,44
gap_enum2,80,3,1,18,2,12,2,0,5,57,0,9,53,0,4,44
gap_enum1,81,3,3,8,1,1,2,0,8,54,0,8,43,0,8,41
gap_enum2,81,3,3,8,1,1,2,0,8,54,0,8,43,0,8,41
gap_enum1,81,3,2,16,2,10,2,0,8,54,0,8,43,0,8,41
gap_enum2,81,3,2,16,1,4,2,0,8,54,0,8,43,0,8,41
gap_enum1,81,3,1,24,4,33,3,0,8,54,0,8,43,0,8,41
gap_enum2,81,3,1,24,1,11,2,0,8,54,0,8,43,0,8,41
gap_enum1,82,3,3,5,1,1,2,0,9,59,0,5,48,0,5,47
gap_enum2,82,3,3,5,1,1,2,0,9,59,0,5,48,0,5,47
gap_enum1,82,3,2,10,2,10,2,0,9,59,0,5,48,0,5,47
gap_enum2,82,3,2,10,1,4,2,0,9,59,0,5,48,0,5,47
gap_enum1,82,3,1,19,5,33,3,0,9,59,0,5,48,0,5,47
gap_enum2,82,3,1,19,2,12,2,0,9,59,0,5,48,0,5,47
gap_enum1,83,3,3,4,1,1,2,0,8,45,0,8,42,0,4,40
gap_enum2,83,3,3,4,1,1,2,0,8,45,0,8,42,0,4,40
gap_enum1,83,3,2,12,2,10,2,0,8,45,0,8,42,0,4,40
gap_enum2,83,3,2,12,1,4,2,0,8,45,0,8,42,0,4,40
gap_enum1,83,3,1,20,4,33,3,0,8,45,0,8,42,0,4,40
gap_enum2,83,3,1,20,1,11,2,0,8,45,0,8,42,0,4,40
gap_enum1,84,3,3,8,1,1,2,0,8,59,0,9,46,0,8,44
gap_enum2,84,3,3,8,1,1,2,0,8,59,0,9,46,0,8,44
gap_enum1,84,3,2,17,2,10,2,0,8,59,0,9,46,0,8,44
gap_enum2,84,3,2,17,1,4,2,0,8,59,0,9,46,0,8,44
gap_enum1,84,3,1,25,4,33,3,0,8,59,0,9,46,0,8,44
gap_enum2,84,3,1,25,1,11,2,0,8,59,0,9,46,0,8,44
gap_enum1,85,3,3,6,1,1,2,0,4,53,0,9,53,0,6,52
gap_enum2,85,3,3,6,1,1,2,0,4,53,0,9,53,0,6,52
gap_enum1,85,3,2,15,2,10,2,0,4,53,0,9,53,0,6,52
gap_enum2,85,3,2,15,1,4,2,0,4,53,0,9,53,0,6,52
gap_enum1,85,3,1,19,3,17,3,0,4,53,0,9,53,0,6,52
gap_enum2,85,3,1,19,1,6,2,0,4,53,0,9,53,0,6,52
gap_enum1,86,3,3,4,1,1,2,0,5,53,0,6,52,0,4,49
gap_enum2,86,3,3,4,1,1,2,0,5,53,0,6,52,0,4,49
gap_enum1,86,3,2,10,2,10,2,0,5,53,0,6,52,0,4,49
gap_enum2,86,3,2,10,1,4,2,0,5,53,0,6,52,0,4,49
gap_enum1,86,3,1,15,3,19,3,0,5,53,0,6,52,0,4,49
gap_enum2,86,3,1,15,1,7,2,0,5,53,0,6,52,0,4,49
gap_enum1,87,3,3,9,1,1,2,0,8,58,0,4,45,0,9,44
gap_enum2,87,3,3,9,1,1,2,0,8,58,0,4,45,0,9,44
gap_enum1,87,3,2,13,2,10,2,0,8,58,0,4,45,0,9,44
gap_enum2,87,3,2,13,1,4,2,0,8,58,0,4,45,0,9,44
gap_enum1,87,3,1,21,5,33,3,0,8,58,0,4,45,0,9,44
gap_enum2,87,3,1,21,2,12,2,0,8,58,0,4,45,0,9,44
gap_enum1,88,3,3,9,1,1,2,0,4,56,0,4,56,0,9,50
gap_enum2,88,3,3,9,1,1,2,0,4,56,0,4,56,0,9,50
gap_enum1,88,3,2,13,2,10,2,0,4,56,0,4,56,0,9,50
gap_enum2,88,3,2,13,1,4,2,0,4,56,0,4,56,0,9,50
gap_enum1,88,3,1,17,3,17,3,0,4,56,0,4,56,0,9,50
gap_enum2,88,3,1,17,1,6,2,0,4,56,0,4,56,0,9,50
gap_enum1,89,3,3,8,1,1,2,0,6,56,0,7,50,0,8,43
gap_enum2,89,3,3,8,1,1,2,0,6,56,0,7,50,0,8,43
gap_enum1,89,3,2,15,2,10,2,0,6,56,0,7,50,0,8,43
gap_enum2,89,3,2,15,1,4,2,0,6,56,0,7,50,0,8,43
gap_enum1,89,3,1,21,4,33,3,0,6,56,0,7,50,0,8,43
gap_enum2,89,3,1,21,1,11,2,0,6,56,0,7,50,0,8,43
gap_enum1,90,3,3,8,1,1,2,0,5,50,0,6,48,0,8,40
gap_enum2,90,3,3,8,1,1,2,0,5,50,0,6,48,0,8,40
gap_enum1,90,3,2,14,2,7,2,0,5,50,0,6,48,0,8,40
gap_enum2,90,3,2,14,1,4,2,0,5,50,0,6,48,0,8,40
gap_enum1,90,3,1,19,4,33,3,0,5,50,0,6,48,0,8,40
gap_enum2,90,3,1,19,1,11,2,0,5,50,0,6,48,0,8,40
gap_enum1,91,3,3,4,1,1,2,0,4,54,0,5,53,0,4,46
gap_enum2,91,3,3,4,1,1,2,0,4,54,0,5,53,0,4,46
gap_enum1,91,3,2,9,3,10,2,0,4,54,0,5,53,0,4,46
gap_enum2,91,3,2,9,2,5,2,0,4,54,0,5,53,0,4,46
gap_enum1,91,3,1,13,4,33,3,0,4,54,0,5,53,0,4,46
gap_enum2,91,3,1,13,2,12,2,0,4,54,0,5,53,0,4,46
gap_enum1,92,3,3,8,1,1,2,0,7,59,0,8,59,0,8,55
gap_enum2,92,3,3,8,1,1,2,0,7,59,0,8,59,0,8,55
gap_enum1,92,3,2,16,2,10,2,0,7,59,0,8,59,0,8,55
gap_enum2,92,3,2,16,1,4,2,0,7,59,0,8,59,0,8,55
gap_enum1,92,3,1,23,3,17,3,0,7,59,0,8,59,0,8,55
gap_enum2,92,3,1,23,1,6,2,0,7,59,0,8,59,0,8,55
gap_enum1,93,3,3,5,1,1,2,0,6,54,0,6,54,0,5,51
gap_enum2,93,3,3,5,1,1,2,0,6,54,0,6,54,0,5,51
gap_enum1,93,3,2,11,2,10,2,0,6,54,0,6,54,0,5,51
gap_enum2,93,3,2,11,1,4,2,0,6,54,0,6,54,0,5,51
gap_enum1,93,3,1,17,3,17,3,0,6,54,0,6,54,0,5,51
gap_enum2,93,3,1,17,1,6,2,0,6,54,0,6,54,0,5,51
gap_enum1,94,3,3,8,1,1,2,0,5,50,0,7,41,0,8,40
gap_enum2,94,3,3,8,1,1,2,0,5,50,0,7,41,0,8,40
gap_enum1,94,3,2,15,2,10,2,0,5,50,0,7,41,0,8,40
gap_enum2,94,3,2,15,1,4,2,0,5,50,0,7,41,0,8,40
gap_enum1,94,3,1,20,4,33,3,0,5,50,0,7,41,0,8,40
gap_enum2,94,3,1,20,1,11,2,0,5,50,0,7,41,0,8,40
gap_enum1,95,3,3,6,1,1,2,0,8,55,0,7,52,0,6,51
gap_enum2,95,3,3,6,1,1,2,0,8,55,0,7,52,0,6,51
gap_enum1,95,3,2,13,2,10,2,0,8,55,0,7,52,0,6,51
gap_enum2,95,3,2,13,1,4,2,0,8,55,0,7,52,0,6,51
gap_enum1,95,3,1,21,3,22,3,0,8,55,0,7,52,0,6,51
gap_enum2,95,3,1,21,1,7,2,0,8,55,0,7,52,0,6,51
gap_enum1,96,3,3,9,1,1,2,0,6,59,0,4,52,0,9,42
gap_enum2,96,3,3,9,1,1,2,0,6,59,0,4,52,0,9,42
gap_enum1,96,3,2,13,3,10,2,0,6,59,0,4,52,0,9,42
gap_enum2,96,3,2,13,2,5,2,0,6,59,0,4,52,0,9,42
gap_enum1,96,3,1,19,5,33,3,0,6,59,0,4,52,0,9,42
gap_enum2,96,3,1,19,3,16,3,0,6,59,0,4,52,0,9,42
gap_enum1,97,3,3,8,1,1,2,0,6,59,0,9,58,0,8,57
gap_enum2,97,3,3,8,1,1,2,0,6,59,0,9,58,0,8,57
gap_enum1,97,3,2,17,2,10,2,0,6,59,0,9,58,0,8,57
gap_enum2,97,3,2,17,1,4,2,0,6,59,0,9,58,0,8,57
gap_enum1,97,3,1,23,3,22,3,0,6,59,0,9,58,0,8,57
gap_enum2,97,3,1,23,1,7,2,0,6,59,0,9,58,0,8,57
gap_enum1,98,3,3,9,1,1,2,0,4,53,0,7,53,0,9,41
gap_enum2,98,3,3,9,1,1,2,0,4,53,0,7,53,0,9,41
gap_enum1,98,3,2,16,3,10,2,0,4,53,0,7,53,0,9,41
gap_enum2,98,3,2,16,2,5,2,0,4,53,0,7,53,0,9,41
gap_enum1,98,3,1,20,4,21,3,0,4,53,0,7,53,0,9,41
gap_enum2,98,3,1,20,2,9,2,0,4,53,0,7,53,0,9,41
gap_enum1,99,3,3,8,1,1,2,0,5,42,0,8,42,0,8,42
gap_enum2,99,3,3,8,1,1,2,0,5,42,0,8,42,0,8,42
gap_enum1,99,3,2,16,2,4,2,0,5,42,0,8,42,0,8,42
gap_enum2,99,3,2,16,1,3,2,0,5,42,0,8,42,0,8,42
gap_enum1,99,3,1,21,3,11,3,0,5,42,0,8,42,0,8,42
gap_enum2,99,3,1,21,1,5,2,0,5,42,0,8,42,0,8,42
gap_enum1,100,3,3,7,1,1,2,0,6,57,0,6,50,0,7,43
gap_enum2,100,3,3,7,1,1,2,0,6,57,0,6,50,0,7,43
gap_enum1,100,3,2,13,2,7,2,0,6,57,0,6,50,0,7,43
gap_enum2,100,3,2,13,1,4,2,0,6,57,0,6,50,0,7,43
gap_enum1,100,3,1,19,5,33,3,0,6,57,0,6,50,0,7,43
gap_enum2,100,3,1,19,2,12,2,0,6,57,0,6,50,0,7,43
gap_enum1,101,3,3,4,1,1,2,0,5,55,0,7,52,0,4,50
gap_enum2,101,3,3,4,1,1,2,0,5,55,0,7,52,0,4,50
gap_enum1,101,3,2,11,2,10,2,0,5,55,0,7,52,0,4,50
gap_enum2,101,3,2,11,1,4,2,0,5,55,0,7,52,0,4,50
gap_enum1,101,3,1,16,4,33,3,0,5,55,0,7,52,0,4,50
gap_enum2,101,3,1,16,1,11,2,0,5,55,0,7,52,0,4,50
gap_enum1,102,3,3,8,1,1,2,0,8,55,0,9,48,0,8,43
gap_enum2,102,3,3,8,1,1,2,0,8,55,0,9,48,0,8,43
gap_enum1,102,3,2,17,2,10,2,0,8,55,0,9,48,0,8,43
gap_enum2,102,3,2,17,1,4,2,0,8,55,0,9,48,0,8,43
gap_enum1,102,3,1,25,4,33,3,0,8,55,0,9,48,0,8,43
gap_enum2,102,3,1,25,1,11,2,0,8,55,0,9,48,0,8,43
gap_enum1,103,3,3,6,1,1,2,0,8,53,0,9,48,0,6,46
gap_enum2,103,3,3,6,1,1,2,0,8,53,0,9,48,0,6,46
gap_enum1,103,3,2,15,2,10,4,0,8,53,0,9,48,0,6,46
gap_enum2,103,3,2,15,1,4,2,0,8,53,0,9,48,0,6,46
gap_enum1,103,3,1,23,4,33,3,0,8,53,0,9,48,0,6,46
gap_enum2,103,3,1,23,1,11,2,0,8,53,0,9,48,0,6,46
gap_enum1,104,3,3,4,1,1,2,0,8,55,0,8,49,0,4,40
gap_enum2,104,3,3,4,1,1,2,0,8,55,0,8,49,0,4,40
gap_enum1,104,3,2,12,3,10,3,0,8,55,0,8,49,0,4,40
gap_enum2,104,3,2,12,2,5,2,0,8,55,0,8,49,0,4,40
gap_enum1,104,3,1,20,4,33,3,0,8,55,0,8,49,0,4,40
gap_enum2,104,3,1,20,2,12,2,0,8,55,0,8,49,0,4,40
gap_enum1,105,3,3,8,1,1,2,0,9,56,0,5,48,0,8,46
gap_enum2,105,3,3,8,1,1,2,0,9,56,0,5,48,0,8,46
gap_enum1,105,3,2,13,2,10,2,0,9,56,0,5,48,0,8,46
gap_enum2,105,3,2,13,1,4,2,0,9,56,0,5,48,0,8,46
gap_enum1,105,3,1,22,4,33,3,0,9,56,0,5,48,0,8,46
gap_enum2,105,3,1,22,1,11,2,0,9,56,0,5,48,0,8,46
gap_enum1,106,3,3,7,1,1,2,0,4,55,0,5,55,0,7,49
gap_enum2,106,3,3,7,1,1,2,0,4,55,0,5,55,0,7,49
gap_enum1,106,3,2,12,2,10,2,0,4,55,0,5,55,0,7,49
gap_enum2,106,3,2,12,1,4,2,0,4,55,0,5,55,0,7,49
gap_enum1,106,3,1,16,3,17,3,0,4,55,0,5,55,0,7,49
gap_enum2,106,3,1,16,1,6,2,0,4,55,0,5,55,0,7,49
gap_enum1,107,3,3,5,1,1,2,0,5,59,0,4,57,0,5,48
gap_enum2,107,3,3,5,1,1,2,0,5,59,0,4,57,0,5,48
gap_enum1,107,3,2,9,3,10,3,0,5,59,0,4,57,0,5,48
gap_enum2,107,3,2,9,2,5,2,0,5,59,0,4,57,0,5,48
gap_enum1,107,3,1,14,4,33,3,0,5,59,0,4,57,0,5,48
gap_enum2,107,3,1,14,2,12,2,0,5,59,0,4,57,0,5,48
gap_enum1,108,3,3,4,1,1,2,0,6,57,0,7,45,0,4,43
gap_enum2,108,3,3,4,1,1,2,0,6,57,0,7,45,0,4,43
gap_enum1,108,3,2,11,2,10,2,0,6,57,0,7,45,0,4,43
gap_enum2,108,3,2,11,1,4,2,0,6,57,0,7,45,0,4,43
gap_enum1,108,3,1,17,5,33,3,0,6,57,0,7,45,0,4,43
gap_enum2,108,3,1,17,2,12,2,0,6,57,0,7,45,0,4,43
gap_enum1,109,3,3,4,1,1,2,0,4,57,0,5,53,0,4,46
gap_enum2,109,3,3,4,1,1,2,0,4,57,0,5,53,0,4,46
gap_enum1,109,3,2,9,3,10,3,0,4,57,0,5,53,0,4,46
gap_enum2,109,3,2,9,2,5,2,0,4,57,0,5,53,0,4,46
gap_enum1,109,3,1,13,4,33,3,0,4,57,0,5,53,0,4,46
gap_enum2,109,3,1,13,2,12,2,0,4,57,0,5,53,0,4,46
gap_enum1,110,3,3,6,1,1,2,0,7,49,0,8,44,0,6,40
gap_enum2,110,3,3,6,1,1,2,0,7,49,0,8,44,0,6,40
gap_enum1,110,3,2,14,2,10,2,0,7,49,0,8,44,0,6,40
gap_enum2,110,3,2,14,1,4,2,0,7,49,0,8,44,0,6,40
gap_enum1,110,3,1,21,4,33,3,0,7,49,0,8,44,0,6,40
gap_enum2,110,3,1,21,1,11,2,0,7,49,0,8,44,0,6,40
gap_enum1,111,3,3,8,1,1,2,0,9,55,0,5,46,0,8,43
gap_enum2,111,3,3,8,1,1,2,0,9,55,0,5,46,0,8,43
gap_enum1,111,3,2,13,2,10,2,0,9,55,0,5,46,0,8,43
gap_enum2,111,3,2,13,1,4,2,0,9,55,0,5,46,0,8,43
gap_enum1,111,3,1,22,4,33,3,0,9,55,0,5,46,0,8,43
gap_enum2,111,3,1,22,1,11,2,0,9,55,0,5,46,0,8,43
gap_enum1,112,3,3,5,1,1,2,0,6,59,0,8,59,0,5,47
gap_enum2,112,3,3,5,1,1,2,0,6,59,0,8,59,0,5,47
gap_enum1,112,3,2,13,3,10,3,0,6,59,0,8,59,0,5,47
gap_enum2,112,3,2,13,2,5,2,0,6,59,0,8,59,0,5,47
gap_enum1,112,3,1,19,4,21,3,0,6,59,0,8,59,0,5,47
gap_enum2,112,3,1,19,2,9,2,0,6,59,0,8,59,0,5,47
gap_enum1,113,3,3,7,1,1,2,0,9,58,0,7,56,0,7,42
gap_enum2,113,3,3,7,1,1,2,0,9,58,0,7,56,0,7,42
gap_enum1,113,3,2,14,3,10,3,0,9,58,0,7,56,0,7,42
gap_enum2,113,3,2,14,2,5,2,0,9,58,0,7,56,0,7,42
gap_enum1,113,3,1,23,4,33,3,0,9,58,0,7,56,0,7,42
gap_enum2,113,3,1,23,2,12,2,0,9,58,0,7,56,0,7,42
gap_enum1,114,3,3,4,1,1,2,0,9,57,0,4,54,0,4,41
gap_enum2,114,3,3,4,1,1,2,0,9,57,0,4,54,0,4,41
gap_enum1,114,3,2,8,3,10,2,0,9,57,0,4,54,0,4,41
gap_enum2,114,3,2,8,2,5,2,0,9,57,0,4,54,0,4,41
gap_enum1,114,3,1,17,4,33,3,0,9,57,0,4,54,0,4,41
gap_enum2,114,3,1,17,2,12,2,0,9,57,0,4,54,0,4,41
gap_enum1,115,3,3,8,1,1,2,0,4,56,0,8,56,0,8,42
gap_enum2,115,3,3,8,1,1,2,0,4,56,0,8,56,0,8,42
gap_enum1,115,3,2,16,3,10,2,0,4,56,0,8,56,0,8,42
gap_enum2,115,3,2,16,2,5,2,0,4,56,0,8,56,0,8,42
gap_enum1,115,3,1,20,4,21,3,0,4,56,0,8,56,0,8,42
gap_enum2,115,3,1,20,2,9,2,0,4,56,0,8,56,0,8,42
gap_enum1,116,3,3,9,1,1,2,0,6,57,0,9,56,0,9,51
gap_enum2,116,3,3,9,1,1,2,0,6,57,0,9,56,0,9,51
gap_enum1,116,3,2,18,2,10,2,0,6,57,0,9,56,0,9,51
gap_enum2,116,3,2,18,1,4,4,0,6,57,0,9,56,0,9,51
gap_enum1,116,3,1,24,3,22,3,0,6,57,0,9,56,0,9,51
gap_enum2,116,3,1,24,1,7,2,0,6,57,0,9,56,0,9,51
gap_enum1,117,3,3,7,1,1,2,0,5,52,0,9,49,0,7,44
gap_enum2,117,3,3,7,1,1,2,0,5,52,0,9,49,0,7,44
gap_enum1,117,3,2,16,2,10,2,0,5,52,0,9,49,0,7,44
gap_enum2,117,3,2,16,1,4,2,0,5,52,0,9,49,0,7,44
gap_enum1,117,3,1,21,4,33,3,0,5,52,0,9,49,0,7,44
gap_enum2,117,3,1,21,1,11,2,0,5,52,0,9,49,0,7,44
gap_enum1,118,3,3,9,1,1,2,0,8,59,0,6,57,0,9,53
gap_enum2,118,3,3,9,1,1,2,0,8,59,0,6,57,0,9,53
gap_enum1,118,3,2,15,2,10,2,0,8,59,0,6,57,0,9,53
gap_enum2,118,3,2,15,1,4,2,0,8,59,0,6,57,0,9,53
gap_enum1,118,3,1,23,3,22,3,0,8,59,0,6,57,0,9,53
gap_enum2,118,3,1,23,1,7,2,0,8,59,0,6,57,0,9,53
gap_enum1,119,3,3,9,1,1,2,0,8,54,0,6,51,0,9,44
gap_enum2,119,3,3,9,1,1,2,0,8,54,0,6,51,0,9,44
gap_enum1,119,3,2,15,2,10,2,0,8,54,0,6,51,0,9,44
gap_enum2,119,3,2,15,1,4,2,0,8,54,0,6,51,0,9,44
gap_enum1,119,3,1,23,4,33,3,0,8,54,0,6,51,0,9,44
